dataset,MultiROCKET-40000+HCF-6+Inception-mpv+mipv,MultiROCKET-40000+HCF-6+Inception-lspv+mipv,MultiROCKET-40000+HCF-6+Inception-ppv+lspv,Inception-ppv+lspv+mpv+mipv,MultiROCKET-40000+HCF-6+Inception-ppv+mpv+mipv,MultiROCKET-40000+HCF-6+Inception-ppv+mpv,MultiROCKET-40000+HCF-6+Inception-lspv,MultiROCKET-40000+HCF-6+Inception-ppv+lspv+mpv,MultiROCKET-40000+HCF-6+Inception-lspv+mpv+mipv,MultiROCKET-40000+HCF-6+Inception-ppv+lspv+mpv+mipv,MultiROCKET-40000+HCF-6+Inception-lspv+mpv,MultiROCKET-40000+HCF-6+Inception-mpv,MultiROCKET-40000+HCF-6+Inception-ppv,MultiROCKET-40000+HCF-6+Inception-ppv+mipv,MultiROCKET-40000+HCF-6+Inception-mipv,MultiROCKET-40000+HCF-6+Inception-ppv+lspv+mipv,accuracy_mean,accuracy,PPV+LSPV+MPV+MIPV_base+1st_50k
ACSF1,0.8,0.8800000000000001,0.906,0.89,0.7859999999999999,0.8879999999999999,0.8960000000000001,0.898,0.882,0.8780000000000001,0.9,0.8960000000000001,0.9280000000000002,0.7859999999999999,0.7879999999999999,0.8699999999999999,0.886,0.8960000000000001,0.92
Adiac,0.7759590792838874,0.8332480818414322,0.8373401534526854,0.7774936061381074,0.7728900255754475,0.7989769820971866,0.8383631713554986,0.8347826086956521,0.8332480818414323,0.8347826086956524,0.8322250639386188,0.7861892583120206,0.8583120204603581,0.7759590792838875,0.7867007672634272,0.8378516624040919,0.78337596,0.8296675191815857,0.8337595907928389
ArrowHead,0.8057142857142857,0.8697142857142856,0.8925714285714286,0.8742857142857143,0.801142857142857,0.801142857142857,0.8891428571428571,0.8937142857142856,0.8754285714285714,0.8777142857142856,0.8902857142857143,0.8137142857142857,0.9017142857142856,0.8091428571428573,0.8137142857142857,0.8742857142857143,0.81428571,0.8468571428571428,0.8685714285714285
Beef,0.6799999999999999,0.7333333333333333,0.7333333333333333,0.7,0.6133333333333334,0.5866666666666667,0.7333333333333333,0.7333333333333333,0.7533333333333333,0.7666666666666666,0.7333333333333333,0.6266666666666666,0.76,0.7133333333333333,0.7066666666666667,0.7266666666666667,0.83333333,0.6866666666666666,0.7666666666666667
BirdChicken,0.9,0.95,0.98,0.9,0.9200000000000002,0.89,0.95,0.97,0.95,0.95,0.96,0.89,0.9,0.91,0.91,0.95,0.9,0.95,0.9
CinCECGTorso,0.9217391304347826,0.8711594202898552,0.8344927536231884,0.7731884057971015,0.9201449275362318,0.7042028985507246,0.8368115942028986,0.833623188405797,0.8704347826086956,0.8737681159420291,0.8340579710144927,0.69231884057971,0.8762318840579709,0.9255072463768116,0.9220289855072464,0.8705797101449276,0.83615942,0.8421739130434783,0.9514492753623188
Coffee,1.0,1.0,1.0,1.0,1.0,0.9928571428571428,1.0,1.0,1.0,1.0,1.0,0.9928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FordA,0.8540909090909091,0.9075757575757576,0.8709090909090909,0.9575757575757576,0.8540909090909091,0.9565151515151514,0.8721212121212121,0.8766666666666666,0.908181818181818,0.9086363636363636,0.8772727272727273,0.9533333333333334,0.9575757575757576,0.8359090909090909,0.8315151515151517,0.9122727272727272,0.94439394,0.9572727272727273,0.9575757575757576
Haptics,0.4876623376623376,0.5603896103896104,0.514935064935065,0.435064935064935,0.4896103896103896,0.5220779220779221,0.5110389610389611,0.52012987012987,0.5590909090909091,0.5525974025974026,0.5272727272727273,0.5318181818181817,0.5149350649350649,0.4889610389610389,0.4902597402597403,0.5506493506493506,0.52402597,0.5487012987012987,0.5422077922077922
HouseTwenty,0.9142857142857144,0.961344537815126,0.9579831932773109,0.9579831932773109,0.9142857142857144,0.9663865546218486,0.9563025210084032,0.9579831932773109,0.961344537815126,0.961344537815126,0.9546218487394956,0.9663865546218486,0.9647058823529412,0.907563025210084,0.907563025210084,0.9596638655462184,0.96386555,0.9747899159663866,0.9915966386554622
MedicalImages,0.7957894736842106,0.7905263157894736,0.7826315789473685,0.7605263157894737,0.7918421052631579,0.7755263157894736,0.7807894736842106,0.7805263157894736,0.7899999999999998,0.7892105263157895,0.78,0.7778947368421053,0.7857894736842106,0.7839473684210526,0.786578947368421,0.79,0.79947368,0.786578947368421,0.8078947368421052
MiddlePhalanxTW,0.5181818181818181,0.4883116883116883,0.4818181818181818,0.512987012987013,0.5207792207792207,0.4987012987012987,0.487012987012987,0.4831168831168831,0.4792207792207792,0.4883116883116883,0.4818181818181818,0.4974025974025974,0.4987012987012987,0.5077922077922078,0.5363636363636364,0.496103896103896,0.56038961,0.5077922077922078,0.538961038961039
